x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-50.000000,-50.000000,-0.363450,0.266458,-0.629908,-0.096992,150.043480,50.162052,99.881428,200.205532,0.000000,0.000000,0.000000,0.000000,-0.007889,0.001512,-0.009401,-0.006378
-50.000000,-47.500000,-0.388445,0.267689,-0.656134,-0.120756,150.036817,50.161309,99.875508,200.198126,0.053714,0.016331,0.037383,0.070045,-0.007857,0.001483,-0.009340,-0.006373
-50.000000,-45.000000,-0.461676,0.270172,-0.731848,-0.191504,150.017170,50.159448,99.857722,200.176618,0.108245,0.032349,0.075896,0.140594,-0.008303,0.001630,-0.009933,-0.006673
-50.000000,-42.500000,-0.583252,0.275631,-0.858884,-0.307621,149.984641,50.156821,99.827820,200.141462,0.164548,0.048344,0.116204,0.212892,-0.008533,0.001421,-0.009953,-0.007112
-50.000000,-40.000000,-0.756243,0.283390,-1.039633,-0.472853,149.937503,50.152891,99.784611,200.090394,0.223622,0.064559,0.159062,0.288181,-0.008486,0.000788,-0.009274,-0.007699
-50.000000,-37.500000,-0.982159,0.294846,-1.277005,-0.687314,149.873981,50.147106,99.726875,200.021087,0.285428,0.080755,0.204674,0.366183,-0.008502,0.000151,-0.008653,-0.008351
-50.000000,-35.000000,-1.262457,0.311928,-1.574385,-0.950530,149.792918,50.139658,99.653261,199.932576,0.348987,0.096248,0.252739,0.445234,-0.008730,0.000321,-0.009051,-0.008408
-50.000000,-32.500000,-1.608014,0.335272,-1.943286,-1.272743,149.689898,50.130284,99.559614,199.820182,0.413475,0.110583,0.302892,0.524057,-0.008629,0.001085,-0.009714,-0.007543
-50.000000,-30.000000,-2.010817,0.366233,-2.377050,-1.644584,149.566193,50.118983,99.447210,199.685176,0.476837,0.123661,0.353176,0.600498,-0.008223,0.002052,-0.010275,-0.006171
-50.000000,-27.500000,-2.467912,0.405291,-2.873204,-2.062621,149.421911,50.105856,99.316055,199.527768,0.536611,0.134941,0.401671,0.671552,-0.007564,0.003117,-0.010680,-0.004447
