# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,2.169860736018136649e+01,2.332093964079645332e+01,2.301423432005875824e+01,2.052632461308608214e+01,2.474192623642890254e+01,2.325851405770109182e+01
2.999999999999999889e-02,2.057974571554066046e+01,2.213202490441764780e+01,2.185518737389332600e+01,1.969483757996807327e+01,2.336530815118859294e+01,2.205372428212372782e+01
4.000000000000000083e-02,1.946088419059075747e+01,2.095445616578005854e+01,2.068970604451041950e+01,1.882539145642929412e+01,2.225777181682838446e+01,2.086556355523250517e+01
5.000000000000000278e-02,1.834202280723503975e+01,1.975725392870200992e+01,1.950483489794944347e+01,1.787053377451849201e+01,2.115023640529816618e+01,1.967301334637225452e+01
5.999999999999999778e-02,1.722316159306850025e+01,1.854861288292324062e+01,1.831196628203195687e+01,1.691823271485665359e+01,2.004276209757527027e+01,1.846969545721316308e+01
7.000000000000000666e-02,1.610430058335484560e+01,1.734147787495636095e+01,1.712275324347385563e+01,1.588924052454839497e+01,1.893529112530356784e+01,1.726770714867167555e+01
8.000000000000000167e-02,1.498543982388941487e+01,1.614060589310131633e+01,1.593520541147125869e+01,1.484922342809960050e+01,1.752871057563688950e+01,1.603945334370454034e+01
8.999999999999999667e-02,1.403798969847919942e+01,1.495109833996423454e+01,1.479105771273671088e+01,1.381540378223216692e+01,1.612203064822239895e+01,1.483754566439166034e+01
1.000000000000000056e-01,1.317624479619469291e+01,1.384897130985138780e+01,1.368304082912922759e+01,1.278876155367958667e+01,1.471524549574352214e+01,1.365353834632117547e+01
1.100000000000000006e-01,1.231449990038321829e+01,1.276980403736082792e+01,1.262642506142796250e+01,1.176739158120236439e+01,1.350175317834276356e+01,1.256896020609310582e+01
1.199999999999999956e-01,1.143636803707284422e+01,1.181816043205296296e+01,1.163373739638414861e+01,1.087900388846184896e+01,1.236939614991774761e+01,1.155874853366229971e+01
