# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.888374064634207627e+01,1.955408252034822780e+01,1.911959478669102452e+01,1.945978213904863141e-01,1.878374201949866418e+01,2.182882096588776122e+01,1.957503326942308419e+01,1.070317536177297191e+00
2.999999999999999889e-02,1.657724935400490196e+01,1.732710558232331977e+01,1.684064235356878214e+01,2.394098344515787902e-01,1.644327287620239275e+01,1.898900033079821981e+01,1.722788144736813365e+01,8.794515008471263107e-01
4.000000000000000083e-02,1.442044528843040396e+01,1.547802374309157969e+01,1.472440110693339044e+01,3.108909673340370383e-01,1.445122910115723158e+01,1.666930010597014089e+01,1.494073584534314136e+01,6.529605918639282969e-01
5.000000000000000278e-02,1.226793442121963018e+01,1.362894190386582594e+01,1.281105724599514062e+01,3.754210494405986753e-01,1.226150245910114123e+01,1.458310001421798141e+01,1.295001881572221336e+01,6.214168168561675643e-01
5.999999999999999778e-02,1.098531209739730130e+01,1.177986006464888113e+01,1.117101435803752807e+01,2.464770934578993655e-01,1.071000466853306499e+01,1.271970000189092076e+01,1.124153050152849076e+01,5.276912022643169831e-01
7.000000000000000666e-02,9.549612025367920864e+00,9.930778225445653362e+00,9.724871410413630457e+00,1.148953945417579559e-01,9.486819451035936268e+00,1.106660002701365109e+01,9.877206619252763886e+00,4.201219018529762095e-01
8.000000000000000167e-02,8.081696386265575072e+00,8.544736447139918312e+00,8.365066229252168029e+00,1.353539668163148135e-01,8.167917098613827420e+00,9.609720060812239950e+00,8.598368588125959278e+00,3.920486589333925798e-01
8.999999999999999667e-02,7.061075630980526263e+00,7.360085140099023704e+00,7.242161896849687253e+00,9.019653142535037638e-02,7.147550016399383921e+00,8.333810086629922509e+00,7.439877908886009195e+00,3.214980164858192713e-01
1.000000000000000056e-01,6.013028769399695328e+00,6.465604344130909453e+00,6.292590369980158194e+00,1.378942988856092511e-01,6.007750868668498612e+00,7.223190097345330685e+00,6.393164694160905270e+00,3.121252853652310977e-01
1.100000000000000006e-01,5.408809095964304703e+00,5.848295197341500717e+00,5.508103273793257593e+00,1.394570620802162153e-01,5.250000000000000000e+00,6.262160092421605206e+00,5.545020215937048746e+00,2.699161898094037393e-01
1.199999999999999956e-01,4.689758999502030790e+00,5.241904980523504953e+00,4.852109053811671124e+00,1.570907650964054325e-01,4.419999999999999929e+00,5.435210075309577782e+00,4.835277612115783441e+00,2.446291602993986292e-01
1.300000000000000044e-01,4.092249300498130182e+00,4.635514763707050179e+00,4.232530360652785539e+00,1.634392896493474523e-01,4.013816888244567060e+00,4.727610051456967000e+00,4.232139871549592591e+00,1.929937334576327379e-01
1.400000000000000133e-01,3.592518749831905556e+00,4.029124546892830949e+00,3.699672498771792828e+00,1.319216641451501359e-01,3.563134851248650481e+00,4.125370026999182649e+00,3.724213246031602864e+00,1.501585706886269245e-01
1.499999999999999944e-01,3.073569713393753400e+00,3.422734330082038756e+00,3.230897702913073211e+00,1.021101533929022476e-01,3.072470221107650890e+00,3.615670007984722822e+00,3.256596887121919970e+00,1.499829913212860910e-01
1.600000000000000033e-01,2.807311446873832494e+00,2.946610882949755705e+00,2.845911373403477107e+00,4.344557982718983552e-02,2.750000000000000000e+00,3.186740000016024421e+00,2.879750640529401995e+00,1.242092759514386024e-01
1.700000000000000122e-01,2.375879858271021217e+00,2.663070081888710305e+00,2.544821017671400121e+00,7.913367111818329913e-02,2.399999999999999911e+00,2.828150008112281011e+00,2.589298396929143653e+00,1.154052259294198191e-01
1.799999999999999933e-01,2.228625091254768709e+00,2.416613445372814972e+00,2.301909178690940028e+00,5.617394706424837236e-02,2.201514296853761987e+00,2.530660036597588647e+00,2.336418931483411843e+00,9.268608967620096950e-02
1.900000000000000022e-01,2.002214428737621343e+00,2.196292242317955612e+00,2.108997437274133802e+00,5.524257845323791993e-02,2.033787510347870864e+00,2.286260088873174556e+00,2.146338230969114136e+00,7.593878850742721842e-02
2.000000000000000111e-01,1.854959226805588113e+00,2.054310406601423722e+00,1.946735241131494876e+00,6.847832295268425906e-02,1.867003050743564652e+00,2.088150167685392855e+00,1.968928764021333766e+00,7.483293361177442704e-02
2.099999999999999922e-01,1.744957338609746111e+00,1.941430560163538432e+00,1.828875525433554250e+00,6.247327223172750854e-02,1.740862124372623887e+00,1.965000038207697086e+00,1.842816284921413139e+00,7.066399366175092622e-02
2.200000000000000011e-01,1.666136672175276390e+00,1.832818235637660109e+00,1.744688410655316213e+00,5.757355449335765929e-02,1.657503788177481896e+00,1.852925028502232507e+00,1.752377049958866451e+00,6.380381744703716995e-02
2.300000000000000100e-01,1.615714123165894689e+00,1.763790234717713235e+00,1.670885249854466625e+00,5.072083137454003882e-02,1.573773698069226956e+00,1.801137601916135367e+00,1.680307172978569685e+00,6.552229166770501267e-02
2.399999999999999911e-01,1.589772662105556567e+00,1.715310401956088970e+00,1.629826132487578683e+00,3.701292741501004818e-02,1.552175180926148812e+00,1.749425004422984653e+00,1.641791463156808017e+00,5.771410349569229548e-02
2.500000000000000000e-01,1.506981262063779914e+00,1.715265597025526612e+00,1.602723946696511081e+00,5.562596145773465034e-02,1.535545856135553056e+00,1.749412621075497887e+00,1.624213335902524591e+00,6.046664017985531325e-02
2.600000000000000089e-01,1.589720213691036887e+00,1.715217765275755424e+00,1.629505835016040072e+00,3.701659910235626655e-02,1.542535090296843103e+00,1.749437500649610344e+00,1.636042177843687551e+00,5.932200691332952663e-02
2.700000000000000178e-01,1.604172501209610857e+00,1.763589178325102313e+00,1.677120902906212851e+00,4.908415835567874613e-02,1.591772555718158566e+00,1.801187570419073403e+00,1.679330861283700127e+00,6.221227587155113425e-02
2.800000000000000266e-01,1.600206067042479807e+00,1.832773563297051878e+00,1.732095884222559556e+00,7.168720099171552174e-02,1.641038253328908070e+00,1.852925011851985326e+00,1.728696207070230084e+00,6.541208034703800689e-02
2.899999999999999800e-01,1.705438630636414654e+00,1.941370996902807011e+00,1.831685634601994517e+00,6.791141308807940868e-02,1.719120747408192429e+00,1.964950033168292753e+00,1.825892703931953687e+00,7.098278273178601494e-02
2.999999999999999889e-01,1.884778050259204862e+00,2.053791345850613403e+00,1.952746851022386654e+00,6.320477100685067962e-02,1.809100449516582776e+00,2.076975038517555383e+00,1.939489676565501641e+00,7.507595755564012985e-02
3.099999999999999978e-01,2.067524626133717014e+00,2.195610842039383837e+00,2.116922131416682173e+00,4.052394819541610405e-02,1.930670279264915079e+00,2.263462555225124628e+00,2.107957846405422053e+00,8.751582751713510300e-02
3.200000000000000067e-01,2.202628948172383083e+00,2.415761050182561931e+00,2.308506138486309034e+00,6.170951449552547485e-02,2.088150167685392855e+00,2.449962586225808092e+00,2.318101533869838971e+00,9.770218285090340182e-02
