# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.598160424813984903e+01,1.599221100096979953e+01,1.598970031159292127e+01,4.144519132692679797e+00,1.629471240576685531e+01,1.211054486567004673e+01
2.999999999999999889e-02,1.598154423374042388e+01,1.599212900245274405e+01,1.598963551545599593e+01,4.144437554626563269e+00,1.629229330067462200e+01,1.211275895779859368e+01
4.000000000000000083e-02,1.598148421934522112e+01,1.599206100168649769e+01,1.598958804091371633e+01,4.144375448001602180e+00,1.628989905536785443e+01,1.211162168740077760e+01
5.000000000000000278e-02,1.598142420495424432e+01,1.599202000535103529e+01,1.598954862959363865e+01,4.144330511097638947e+00,1.628748005405891419e+01,1.211027398025948898e+01
5.999999999999999778e-02,1.598146419043743016e+01,1.599200000416616163e+01,1.598954708781681688e+01,4.144339374898429185e+00,1.628506123005733031e+01,1.211052025593217785e+01
7.000000000000000666e-02,1.598150417592540506e+01,1.599204899971557836e+01,1.598957686522781430e+01,4.144369797491312291e+00,1.628268014257040619e+01,1.211070720712899629e+01
8.000000000000000167e-02,1.598154416141816903e+01,1.599213100060334902e+01,1.598961939268195565e+01,4.144469324330287030e+00,1.628030146282005219e+01,1.211087127335863300e+01
8.999999999999999667e-02,1.598158414691571672e+01,1.599219400367332966e+01,1.598966471136149892e+01,4.144609430066521938e+00,1.627798006296586664e+01,1.211095075485562766e+01
1.000000000000000056e-01,1.598162413241805169e+01,1.599223500756458094e+01,1.598970694844493323e+01,4.144791525471995364e+00,1.627572743082956919e+01,1.211103539594816780e+01
1.100000000000000006e-01,1.598168412038798358e+01,1.599227700340282432e+01,1.598975989373282758e+01,4.145028678426231572e+00,1.627350379192616359e+01,1.211115489624564567e+01
1.199999999999999956e-01,1.598174410836231552e+01,1.599235900226859108e+01,1.598983047387906709e+01,4.145277264907953452e+00,1.627151464364202837e+01,1.211151339971877938e+01
