# x_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000021e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.000000000000000042e-02,1.604184676627714268e+01,1.667143273776895640e+01,1.643118419837391997e+01,1.753240256352923687e-01,1.328338436789973009e+01,1.679039245777477163e+01,1.599526183524048228e+01,9.173962378259621353e-01
2.999999999999999889e-02,1.593522793968885054e+01,1.650343305563125540e+01,1.631451614854325172e+01,1.639065257598920355e-01,1.317240611373142301e+01,1.669308961985156259e+01,1.589645549913398526e+01,9.170401208913480096e-01
4.000000000000000083e-02,1.582832264442499692e+01,1.633766808300946494e+01,1.619700989611412822e+01,1.545187865648028347e-01,1.306136614404133667e+01,1.659514158428909170e+01,1.579470217097022733e+01,9.174850672191363632e-01
5.000000000000000278e-02,1.572104843128146179e+01,1.617858536151182136e+01,1.607919186426303426e+01,1.474575896117375218e-01,1.295074777670494193e+01,1.649423860603283387e+01,1.569027981336802391e+01,9.167551086484926337e-01
5.999999999999999778e-02,1.561299366123291854e+01,1.602972386148370276e+01,1.595980016986475292e+01,1.418749223052213904e-01,1.284023477612086062e+01,1.639284027487454765e+01,1.558534205538600048e+01,9.158408609409413037e-01
7.000000000000000666e-02,1.550482418998936218e+01,1.591258424070883137e+01,1.584048987934093589e+01,1.377066639600421083e-01,1.272967844034009310e+01,1.628948728270933088e+01,1.547970164109431579e+01,9.148401265888146394e-01
8.000000000000000167e-02,1.539778285529317081e+01,1.579446318022407247e+01,1.572152556322851602e+01,1.341912733602816932e-01,1.262083248716711559e+01,1.618578911303866263e+01,1.537438429417001196e+01,9.135918619336065305e-01
8.999999999999999667e-02,1.529012758451553999e+01,1.567714053282888642e+01,1.560338507268169828e+01,1.320567947883714566e-01,1.251450362102607272e+01,1.608269142441590915e+01,1.527090757291854217e+01,9.124236347107305134e-01
1.000000000000000056e-01,1.518216209568606345e+01,1.556074250624711652e+01,1.548708853824305720e+01,1.306013087017127983e-01,1.240837264007542373e+01,1.597983806831708975e+01,1.516823272481583373e+01,9.117300975588353840e-01
1.100000000000000006e-01,1.507870932364549077e+01,1.545448342416649368e+01,1.537473116204848900e+01,1.299728203227816514e-01,1.230923878265373084e+01,1.588094058114849183e+01,1.506908440508820313e+01,9.101133083216281783e-01
1.199999999999999956e-01,1.497681264334844897e+01,1.535514326841163957e+01,1.526771193955204176e+01,1.302798013763869223e-01,1.221207028473027734e+01,1.578218708513037427e+01,1.497395890476601643e+01,9.094611247426517275e-01
1.300000000000000044e-01,1.487765096904075968e+01,1.525580311269423817e+01,1.516270233320581617e+01,1.301639297534084305e-01,1.211737733873830614e+01,1.569138413430937540e+01,1.488237585963234011e+01,9.093851191078887730e-01
1.400000000000000133e-01,1.478865695683252390e+01,1.515646295701502488e+01,1.506523048092580730e+01,1.296044863175542239e-01,1.203400010741539816e+01,1.560038609492165662e+01,1.479666101273402390e+01,9.073386590155102516e-01
1.499999999999999944e-01,1.469974986531192762e+01,1.505712280137475645e+01,1.497225367878082558e+01,1.288222180579310094e-01,1.195068999765599926e+01,1.552073883108984020e+01,1.471467093740122145e+01,9.072898464746094183e-01
1.600000000000000033e-01,1.462197348849450940e+01,1.499172269906335053e+01,1.489001655353467335e+01,1.307048637209285991e-01,1.187822745907206468e+01,1.544118518928326900e+01,1.464046100030220821e+01,9.060147493440723343e-01
1.700000000000000122e-01,1.455099523063208622e+01,1.492632259684050311e+01,1.481751750946617285e+01,1.322198196854648677e-01,1.181230063394483842e+01,1.537583255051969466e+01,1.457742679373332528e+01,9.066991253257232763e-01
1.799999999999999933e-01,1.448132601258878793e+01,1.486092249470738125e+01,1.474734964823796979e+01,1.333708819281081981e-01,1.174738994354277111e+01,1.531038431482710926e+01,1.451636523728819128e+01,9.074319169485322023e-01
1.900000000000000022e-01,1.443202520077699091e+01,1.479552239266517510e+01,1.468949632956098483e+01,1.326931734703021837e-01,1.170134566675863041e+01,1.526118183285291963e+01,1.446613366385696509e+01,9.059134044635155369e-01
2.000000000000000111e-01,1.438271152860346014e+01,1.473012229071509793e+01,1.463664176304618003e+01,1.307135727302256856e-01,1.165532127244801330e+01,1.521188350143298429e+01,1.441888921730562600e+01,9.053888861696876011e-01
2.099999999999999922e-01,1.434489434513623252e+01,1.470826225677892829e+01,1.459726632601397789e+01,1.336004710215889790e-01,1.161954041694478512e+01,1.517988652335454702e+01,1.438609371822687244e+01,9.062523735360539234e-01
2.200000000000000011e-01,1.431917771380012994e+01,1.468640222297389641e+01,1.456906920981083964e+01,1.340444937340584952e-01,1.159454216537371529e+01,1.514798276843936620e+01,1.436076251850156105e+01,9.058926302251636420e-01
2.300000000000000100e-01,1.429308235177724029e+01,1.466454218930058495e+01,1.454335096112154702e+01,1.344136965923279359e-01,1.156935970584847162e+01,1.513358023909623107e+01,1.433915913193628100e+01,9.073329903379542261e-01
2.399999999999999911e-01,1.428809962708345616e+01,1.464268215575958543e+01,1.453121295311172112e+01,1.334384627878251739e-01,1.156285203406493700e+01,1.511913211401200030e+01,1.432709617203460617e+01,9.054911362901151284e-01
2.500000000000000000e-01,1.428493617244235558e+01,1.462082212235149292e+01,1.452408595470161679e+01,1.297363852885837221e-01,1.155802708538268320e+01,1.512052957658232799e+01,1.432253694631929797e+01,9.055685665647543736e-01
2.600000000000000089e-01,1.428990654475823874e+01,1.464268215575959253e+01,1.452995079575677018e+01,1.321230367178671261e-01,1.156033444986663383e+01,1.512193179704709500e+01,1.432711226657150938e+01,9.061096961986530030e-01
2.700000000000000178e-01,1.430939984881268856e+01,1.466454218930059916e+01,1.454720103205573700e+01,1.309834723081309271e-01,1.157511094903216531e+01,1.513988571045002907e+01,1.434051930245986384e+01,9.059854801675583102e-01
2.800000000000000266e-01,1.432914889764351329e+01,1.468640222297391951e+01,1.456680492865163146e+01,1.294131520428150328e-01,1.158978222286540216e+01,1.515783147384575535e+01,1.435580624774625669e+01,9.061450280871028440e-01
2.899999999999999800e-01,1.436798950462471147e+01,1.470826225677896204e+01,1.460038420607321363e+01,1.273947319361884156e-01,1.162106076610920091e+01,1.519378524104786621e+01,1.438642933665689760e+01,9.058653473229700825e-01
2.999999999999999889e-01,1.441161208205810773e+01,1.473012229071514412e+01,1.463927287260685794e+01,1.219716007731811852e-01,1.165662554214859448e+01,1.522968113758292041e+01,1.442012967375527133e+01,9.048115400606167036e-01
3.099999999999999978e-01,1.446044597908554685e+01,1.479552239266522662e+01,1.469139581589029220e+01,1.237320252054674580e-01,1.169706712214254019e+01,1.528343449056526815e+01,1.446458194718314694e+01,9.065899971755566611e-01
3.200000000000000067e-01,1.452686927847794784e+01,1.486092249470743987e+01,1.475496589584022722e+01,1.213761296205388279e-01,1.175329372534663896e+01,1.533713081751241347e+01,1.451701158085881360e+01,9.052681149420679363e-01
