# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
0.000000000000000000e+00,-6.458483689999999555e+00,-6.421990000000000087e+00,-6.440236844999999377e+00,1.824684499999973397e-02,-8.269999999999999574e+00,-5.304864999999994550e-03,-5.227383373000000333e+00,2.891305294627752875e+00
1.000000000000000021e-02,-6.335951004486293670e+00,-6.280122000000000426e+00,-6.308036502243147048e+00,2.791450224314662165e-02,-8.099999999999999645e+00,-4.307999999999999829e+00,-5.898439075499790185e+00,1.300915806856725476e+00
2.000000000000000042e-02,-6.213418318972585119e+00,-6.138253999999999877e+00,-6.175836159486292942e+00,3.758215948629262115e-02,-7.919999999999999929e+00,-4.205999999999999517e+00,-5.477668685870726861e+00,1.405423446349780559e+00
2.999999999999999889e-02,-6.090668985609209329e+00,-5.996141999999998973e+00,-6.043405492804604151e+00,4.726349280460517832e-02,-7.750000000000000888e+00,-3.429918603866774607e+00,-5.162503338172268919e+00,1.552738439616240473e+00
4.000000000000000083e-02,-5.967823528222485407e+00,-5.853785999999999490e+00,-5.910804764111242449e+00,5.701876411124295885e-02,-7.569999999999999396e+00,-2.271479599017514062e+00,-4.848193022678988662e+00,1.788256762470954664e+00
5.000000000000000278e-02,-5.843091493161810313e+00,-5.711430000000000007e+00,-5.777260746580905604e+00,6.583074658090515285e-02,-7.389999999999999680e+00,-1.113000334152075776e+00,-4.613245070350344257e+00,2.090842198585245004e+00
5.999999999999999778e-02,-5.715956762463905605e+00,-5.562266000000000155e+00,-5.639111381231952436e+00,7.684538123195272519e-02,-7.209999999999999964e+00,-4.765785311929753298e-01,-4.477979663875442995e+00,2.277257077573576982e+00
7.000000000000000666e-02,-5.586017730240799395e+00,-5.413101999999999414e+00,-5.499559865120399849e+00,8.645786512039999039e-02,-7.019999999999999574e+00,8.312655364858684282e-02,-4.361548453307001694e+00,2.467509912280358098e+00
8.000000000000000167e-02,-5.447208615212179694e+00,-5.256390000000000562e+00,-5.351799307606089684e+00,9.540930760608956618e-02,-6.830000000000000959e+00,3.898339430303470188e-01,-4.294258319699764570e+00,2.590111051199655012e+00
8.999999999999999667e-02,-5.306698649316740735e+00,-5.092130000000000933e+00,-5.199414324658370390e+00,1.072843246583699006e-01,-6.620000000000000107e+00,1.272068852530051641e-01,-4.304428384916969996e+00,2.497197509858308351e+00
1.000000000000000056e-01,-5.149508852589034902e+00,-4.927870000000000417e+00,-5.038689426294517659e+00,1.108194262945172426e-01,-6.767862547591787070e+00,-1.354433525300466623e-01,-4.314593180024366426e+00,2.420209533692332382e+00
1.100000000000000006e-01,-4.992319055861329069e+00,-4.737098000000000475e+00,-4.864708527930664772e+00,1.276105279306642970e-01,-6.714597684050000126e+00,-7.297596121288784099e-01,-4.304804259235775810e+00,2.175093040739532579e+00
1.199999999999999956e-01,-4.807573277784499055e+00,-4.546326000000000533e+00,-4.676949638892249794e+00,1.306236388922492608e-01,-6.661214684049999946e+00,-1.438520351645973694e+00,-4.313880607139194190e+00,1.909737748910507404e+00
1.300000000000000044e-01,-4.622705269959643815e+00,-4.334224000000000743e+00,-4.478464634979822279e+00,1.442406349798215359e-01,-6.211003863671592740e+00,-2.106137482923066795e+00,-4.229202669318931740e+00,1.583233917336858143e+00
1.400000000000000133e-01,-4.400961717455535549e+00,-4.100791999999999327e+00,-4.250876858727767882e+00,1.500848587277681112e-01,-5.760654104927625418e+00,-2.585258438329677944e+00,-4.096637708651460485e+00,1.327011731524997185e+00
1.499999999999999944e-01,-4.177201999238860708e+00,-3.867360000000000131e+00,-4.022280999619430197e+00,1.549209996194302885e-01,-5.070000000000001172e+00,-2.480000000000000426e+00,-3.900677056690854183e+00,1.031840850524659681e+00
1.600000000000000033e-01,-3.903026831548072728e+00,-3.568016000000000076e+00,-3.735521415774036402e+00,1.675054157740363259e-01,-4.719999999999998863e+00,-2.110000000000000320e+00,-3.559844205190897615e+00,9.092796418668955827e-01
1.700000000000000122e-01,-3.626147425543502667e+00,-3.268671999999999578e+00,-3.447409712771751344e+00,1.787377127717515446e-01,-4.329999999999999183e+00,-1.740000000000000213e+00,-3.138494489645068164e+00,8.384873376700812120e-01
1.799999999999999933e-01,-3.278370092323831475e+00,-2.919488000000000305e+00,-3.098929046161916112e+00,1.794410461619155850e-01,-3.899999999999999911e+00,-1.370000000000000773e+00,-2.692448750263964463e+00,8.098490138658021031e-01
1.900000000000000022e-01,-2.921824888515285323e+00,-2.520464000000000482e+00,-2.721144444257642903e+00,2.006804442576424208e-01,-3.410000000000000142e+00,-1.000000000000000444e+00,-2.111010094038416884e+00,8.109395650847333048e-01
2.000000000000000111e-01,-2.480157085206134759e+00,-2.121440000000000214e+00,-2.300798542603067709e+00,1.793585426030672725e-01,-2.870000000000000107e+00,-6.300000000000000044e-01,-1.519570226843312222e+00,8.477473555281676010e-01
2.099999999999999922e-01,-2.010396916817745794e+00,-1.574051200000001094e+00,-1.792224058408873333e+00,2.181728584088723499e-01,-2.250000000000001776e+00,1.916718198429719078e-01,-8.398329422088517404e-01,9.358109668991470009e-01
2.200000000000000011e-01,-1.446980479309075474e+00,-1.026662400000000419e+00,-1.236821439654538057e+00,2.101590396545375272e-01,-1.549999999999998046e+00,1.507850129426600683e+00,-1.008165921146792626e-01,1.099178945591807066e+00
