x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-50.000000,-50.000000,0.370587,1.165105,-0.820000,2.167603,149.188611,49.832971,99.265800,199.400238,0.019987,0.021226,-0.000041,0.050000,-0.035093,0.073136,-0.161354,0.016100
-50.000000,-47.500000,0.323060,1.187533,-0.895000,2.146001,149.176824,49.830471,99.250800,199.391609,0.073636,0.040018,0.032687,0.140000,-0.035600,0.072896,-0.161490,0.015050
-50.000000,-45.000000,0.254905,1.191220,-0.970000,2.081201,149.159515,49.826316,99.235800,199.368688,0.127426,0.062548,0.066525,0.230000,-0.036206,0.072794,-0.161958,0.014000
-50.000000,-42.500000,0.104508,1.224224,-1.125000,1.971058,149.114203,49.804934,99.205850,199.330160,0.172034,0.067972,0.102555,0.275000,-0.036808,0.072884,-0.162683,0.014050
-50.000000,-40.000000,-0.069803,1.236321,-1.280000,1.811944,149.061137,49.781453,99.175900,199.272009,0.218529,0.075573,0.141601,0.320000,-0.037487,0.073108,-0.163708,0.014100
-50.000000,-37.500000,-0.285281,1.239214,-1.515000,1.599388,148.992332,49.757035,99.125700,199.190596,0.264623,0.082797,0.180000,0.355000,-0.037395,0.073879,-0.165020,0.013600
-50.000000,-35.000000,-0.529384,1.216443,-1.750000,1.328665,148.913655,49.729701,99.075500,199.083732,0.313088,0.094150,0.210000,0.422539,-0.037328,0.074756,-0.166515,0.013100
-50.000000,-32.500000,-0.850972,1.205858,-2.055000,0.995436,148.813635,49.698310,99.005350,198.946011,0.364808,0.112502,0.235000,0.510963,-0.037771,0.075404,-0.168144,0.011550
-50.000000,-30.000000,-1.205506,1.166363,-2.360000,0.596631,148.701041,49.662834,98.935200,198.775131,0.417143,0.132491,0.260000,0.600531,-0.038179,0.076125,-0.169845,0.010000
-50.000000,-27.500000,-1.613508,1.117626,-2.735000,0.131404,148.567066,49.622593,98.850050,198.567333,0.449984,0.152219,0.275000,0.687960,-0.037685,0.077467,-0.171621,0.012650
-50.000000,-25.000000,-2.053413,1.043124,-3.110000,-0.397720,148.418973,49.577627,98.764900,198.321968,0.480386,0.176609,0.290000,0.769348,-0.037084,0.078821,-0.173311,0.015300
-50.000000,-22.500000,-2.513163,0.947362,-3.515000,-0.983940,148.264921,49.540735,98.669750,198.040722,0.504494,0.201279,0.300000,0.837852,-0.037189,0.079555,-0.174747,0.015050
-50.000000,-20.000000,-2.995818,0.846794,-3.920000,-1.615319,148.099077,49.500074,98.574600,197.728229,0.520511,0.219692,0.310000,0.885313,-0.037133,0.080232,-0.175929,0.014800
-50.000000,-17.500000,-3.495132,0.758476,-4.325000,-2.274225,147.926875,49.459066,98.456121,197.392131,0.514355,0.236893,0.295000,0.904560,-0.036772,0.080945,-0.176849,0.015100
-50.000000,-15.000000,-3.996842,0.699626,-4.730000,-2.937476,147.750390,49.416805,98.282949,197.289600,0.494760,0.241029,0.280000,0.889338,-0.036258,0.081556,-0.177432,0.015400
-50.000000,-12.500000,-4.445606,0.686820,-5.155396,-3.577026,147.593168,49.385489,98.111976,197.254650,0.449668,0.237595,0.250000,0.834310,-0.035967,0.081815,-0.177654,0.013550
